Período de referência dos dados,Localização geográfica (Região agrária),Espécie,Superfície das principais culturas agrícolas (ha) por Localização geográfica (Região agrária) e Espécie; Anual (1) ,Produção das principais culturas agrícolas (t) por Localização geográfica (Região agrária) e Espécie; Anual (1) ,Produtividade das principais culturas agrícolas (kg/ ha) por Localização geográfica (Região agrária) e Espécie; Anual (1) 
2023,Alentejo,Principais frutos frescos,2760,32393,11739
2023,Alentejo,Pêra,185,3208,17343
2023,Alentejo,Maçã,191,3592,18809
2023,Alentejo,Pêssego,770,10422,13535
2023,Alentejo,Cereja,58,255,4411
2023,Alentejo,Ameixa,648,8828,13624
2023,Alentejo,Damasco,213,791,3715
2023,Alentejo,Diospiro,13,108,8178
2023,Alentejo,Figo,240,555,2316
2023,Alentejo,Ginja,0,0,
2023,Alentejo,Marmelo,61,459,7519
2023,Alentejo,Nespera,0,0,
2023,Alentejo,Romã,381,4174,10956
2023,Alentejo,Frutos pequenos de baga,1697,39495,23273
2023,Alentejo,Amoras,140,3820,27286
2023,Alentejo,Framboesas,1176,29198,24828
2023,Alentejo,Groselha,6,33,5500
2023,Alentejo,Mirtilos,375,6444,17184
2023,Alentejo,Principais frutos subtropicais,512,525,1025
2023,Alentejo,Kiwi,0,0,
2023,Alentejo,Banana,0,0,
2023,Alentejo,Ananás,0,0,
2023,Alentejo,Abacate,512,525,1025
2023,Alentejo,Citrinos,2532,25122,9922
2023,Alentejo,Laranja,1607,19534,12156
2023,Alentejo,Tangerina,834,5327,6387
2023,Alentejo,Limão,91,260,2862
2023,Alentejo,Tangera,0,0,
2023,Alentejo,Toranja,0,0,
2023,Alentejo,Principais frutos de casca rija,33923,48032,1416
2023,Alentejo,Amêndoa,31526,45103,1431
2023,Alentejo,Castanha,478,318,665
2023,Alentejo,Noz,1901,2599,1367
2023,Alentejo,Avelã,18,12,667
2023,Alentejo,Vinha,25975,176618,6800
2023,Alentejo,Uva para vinho,25391,168240,6626
2023,Alentejo,Uva para vinho (DOP),,,
2023,Alentejo,Uva para vinho (IGP),,,
2023,Alentejo,Uva para vinho (Vinhos sem certificação),,,
2023,Alentejo,Uva de mesa,584,8378,14345
2023,Alentejo,Olival,203972,986267,4835
2023,Alentejo,Azeitona de mesa,2550,13910,5454
2023,Alentejo,Azeitona para azeite,201422,972357,4827
2023,Algarve,Cereais para grão,3089,3731,1208
2023,Algarve,Trigo,694,355,511
2023,Algarve,Trigo mole,547,269,493
2023,Algarve,Trigo duro,148,86,580
2023,Algarve,Centeio,14,6,389
2023,Algarve,Aveia,1499,633,422
2023,Algarve,Cevada,491,202,411
2023,Algarve,Triticale,94,35,369
2023,Algarve,Milho,98,925,9469
2023,Algarve,Milho regadio,72,885,12261
2023,Algarve,Milho sequeiro,26,40,1581
2023,Algarve,Arroz,199,1576,7920
2023,Algarve,Principais leguminosas secas,28,18,638
2023,Algarve,Feijão,10,6,617
2023,Algarve,Grão-de-bico,19,12,648
2023,Algarve,Batata,315,7506,23833
2023,Algarve,Batata de regadio,308,7423,24102
2023,Algarve,Batata de sequeiro,7,83,11930
2023,Algarve,Principais culturas para indústria,0,0,1100
2023,Algarve,Tomate para indústria,0,0,
2023,Algarve,Girassol,0,0,1100
2023,Algarve,Tabaco,0,0,
2023,Algarve,Beterraba,0,0,
2023,Algarve,Lúpulo,0,0,
2023,Algarve,Culturas hortícolas,,,
2023,Algarve,Tomate fresco,,,
2023,Algarve,Alface,,,
2023,Algarve,Feijão-verde,,,
2023,Algarve,Cebola,,,
2023,Algarve,Cenoura,,,
2023,Algarve,Pimento,,,
2023,Algarve,Ervilha,,,
2023,Algarve,Fava,,,
2023,Algarve,Melão,,,
2023,Algarve,Melancia,,,
2023,Algarve,Morango,,,
2023,Algarve,Couve-flor,,,
2023,Algarve,Couve-brócolo,,,
2023,Algarve,Couve-repolho,,,
2023,Algarve,Couve-tronchuda,,,
2023,Algarve,Couve-lombardo,,,
2023,Algarve,Grelos (nabo e couve),,,
2023,Algarve,Alho,,,
2023,Algarve,Alho-porro,,,
2023,Algarve,Courgette,,,
2023,Algarve,Espinafre,,,
2023,Algarve,Nabo,,,
2023,Algarve,Abóbora (inclui butternut),,,
2023,Algarve,Outras hortícolas,,,
2023,Algarve,Principais culturas forrageiras,1318,20370,15454
2023,Algarve,Milho forrageiro,28,1140,40746
2023,Algarve,Aveia forrageira,1290,19230,14906
2023,Algarve,Principais frutos frescos,2992,12437,4157
2023,Algarve,Pêra,26,242,9288
2023,Algarve,Maçã,36,324,8978
2023,Algarve,Pêssego,181,2874,15866
2023,Algarve,Cereja,6,10,1662
2023,Algarve,Ameixa,86,1102,12746
2023,Algarve,Damasco,88,1028,11722
2023,Algarve,Diospiro,146,3800,26036
2023,Algarve,Figo,2169,1739,802
2023,Algarve,Ginja,0,0,
2023,Algarve,Marmelo,18,178,9680
2023,Algarve,Nespera,116,382,3295
2023,Algarve,Romã,119,757,6368
2023,Algarve,Frutos pequenos de baga,293,5367,18332
2023,Algarve,Amoras,43,820,19231
2023,Algarve,Framboesas,242,4434,18318
2023,Algarve,Groselha,0,0,
2023,Algarve,Mirtilos,8,113,14000
2023,Algarve,Principais frutos subtropicais,2500,31989,12793
2023,Algarve,Kiwi,5,42,7895
2023,Algarve,Banana,5,153,30000
2023,Algarve,Ananás,0,0,
2023,Algarve,Abacate,2490,31794,12769
2023,Algarve,Citrinos,16384,292015,17823
2023,Algarve,Laranja,13621,243060,17844
2023,Algarve,Tangerina,1975,26348,13344
2023,Algarve,Limão,699,21720,31088
2023,Algarve,Tangera,72,741,10264
2023,Algarve,Toranja,17,146,8484
2023,Algarve,Principais frutos de casca rija,5071,763,151
2023,Algarve,Amêndoa,5001,628,125
2023,Algarve,Castanha,18,16,920
2023,Algarve,Noz,52,120,2315
2023,Algarve,Avelã,0,0,
2023,Algarve,Vinha,1516,5135,3388
2023,Algarve,Uva para vinho,1308,2215,1693
2023,Algarve,Uva para vinho (DOP),,,
2023,Algarve,Uva para vinho (IGP),,,
2023,Algarve,Uva para vinho (Vinhos sem certificação),,,
2023,Algarve,Uva de mesa,207,2920,14084
2023,Algarve,Olival,9430,6648,705
2023,Algarve,Azeitona de mesa,236,289,1223
2023,Algarve,Azeitona para azeite,9194,6360,692
2022,Portugal,Cereais para grão,196993,1012135,5138
2022,Portugal,Trigo,31046,59830,1927
2022,Portugal,Trigo mole,25566,47174,1845
2022,Portugal,Trigo duro,5480,12656,2309
2022,Portugal,Centeio,13772,13087,950
2022,Portugal,Aveia,22992,21136,919
2022,Portugal,Cevada,11932,26844,2250
2022,Portugal,Triticale,15354,17676,1151
2022,Portugal,Milho,74639,717991,9620
2022,Portugal,Milho regadio,67385,698899,10372
2022,Portugal,Milho sequeiro,7254,19092,2632
2022,Portugal,Arroz,27258,155573,5707
2022,Portugal,Principais leguminosas secas,10887,6895,633
2022,Portugal,Feijão,6877,3590,522
2022,Portugal,Grão-de-bico,4010,3305,824
2022,Portugal,Batata,14510,319833,22042
2022,Portugal,Batata de regadio,11900,286824,24104
2022,Portugal,Batata de sequeiro,2611,33009,12644
2022,Portugal,Principais culturas para indústria,22871,1426567,62375
